slang;formal
soft;halus
setting;atur
angis;nangis
ahokncc;ahok
almaidahyg;almaidah
istaa;nista
benarjujur;benar
benarjujur;jujur
sayan;sayang
woww;wow
aminn;amin
met;selamat
netaas;menetas
keberpa;keberapa
eeeehhhh;eh
kata2nyaaa;kata-katanya
hallo;halo
kaka;kakak
ka;kak
daah;dah
aaaaahhhh;ah
yaa;ya
smga;semoga
slalu;selalu
amiin;amin
kk;kakak
trus;kemudian
ae;aja
nyenengin;menyenangkan
bgt;banget
gemess;gemas
akuuu;aku
jgn;jangan
yaa;ya
udah;sudah
gitu;begitu
aja;saja
gemesiin;menggemaskan
menyenangkn;menyenangkan
rb;ribu
akau;aku
saranin;menyarankan
nemuin;menemukan
yah;ya
met;selamat
mnis2nya;manis-manisnya
gtu;begitu
tu;itu
idolaa;idola
bangett;banget
kaakk;kak
baaiikkk;baik
telaatt;telat
kaak;kak
yg;yang
lg;sedang
skarang;sekarang
yg;yang
sempet;sempat
karna;karena
ngga;tidak
karna;karena
mantep;mantap
loohhh;loh
yeee;ya
baguuuuus;bagus
sampe;sampai
ngikutin;mengikuti
gayany;gayanya
ngikutin;mengikuti
lg;sedang
bnk;bang
awaas;awas
siip;sip
abizzzz;habis
kerrrrennnn;keren
sayaa;saya
pengen;ingin
kpan;kapan
bgt;banget
sma;sama
sdkit;sedikit
bngt;banget
lgu;lagu
bener2;benar-benar
kharismanya;karismanya
aq;aku
yg;yang
jdi;jadi
lgi;sedang
gk;tidak
kek;kayak
lgunya;lagunya
kpan;kapan
kereeeeennnn;keren
nyamain;menyamakan
slalu;selalu
lakik;laki
siippp;sip
bkn;bukan
nyangka;menyangka
bangettt;banget
kereeen;keren
wihhhhhh;wih
tp;tapi
inget;ingat
bingitsss;banget
dmn;dimana
bird;biru
kalauo;kalau
gimna;bagaimana
tuuh;tuh
nyebur;mencebur
yng;yang
dbuat;dibuat
kn;kan
org;orang
pingin;pengin
bgt;banget
tu;itu
bangcat;bangsat
yha;ya
waoohhh;wah
pngn;pengin
tmpt;tempat
dhe;deh
indahhh;indah
bgttt;banget
tuhh;tuh
berarto;berarti
ga;tidak
aminn;amin
aamiin;amin
amiiinn;amin
dgn;dengan
aminnnn2;amin-amin
amiin;amin
aamiin;amin
amiiiin;amin
amiin;amin
aminnn;amin
amiend;amien
yaaa;ya
ameen;amin
aminnnn;amin
amiiinnn;amin
kek;kayak
ngomong;mengomong
inget;ingat
mamer;memamerkan
keles;kali
jelase;jelas
liat;lihat
uwakk;uwak
ntar;entar
bs;bisa
gini;begini
jgn;jangan
sampe;sampai
aq;aku
salfok;salah fokus
njir;anjir
piiink;pink
astgfrullah;astagfirullah
ko;kok
cd;celana dalam
gbs;tidak bisa
bhs;bahasa
yaaaaaa;ya
gak;tidak
bangshad;bangsat
yaa;ya
stagahhhh;astaga
kpn;kapan
iooo;lo
dy;dia
d;ada
mslh;masalah
qt;kita
jdi;jadi
plampiasannn;pelampiasan
masalahh;masalah
tohh;toh
inghinn;ingin
dhi;di
mengherthii;mengerti
yanckh;yang
chelalyyu;selalu
therchakitty;tersakiti
mauuuuu;mau
kaliii;kali
bangat;banget
bkin;bikin
dongg;dong
yokkk;yuk
gini;begini
yu;yuk
sweger;segar
kereeen;keren
gantengg;ganteng
bingiit;banget
gak;tidak
kebukaaa;terbuka
tpi;tapi
keliatan;kelihatan
yakk;ya
kayakk;kayak
asliii;asli
kyk;kayak
cntiknya;cantiknya
bat;banget
ga;tidak
ngeliatnya;melihatnya
sll;selalu
bet;banget
njerr;anjir
bingiiittttzzzz;banget
bgt;banget
k;kak
klo;kalau
lg;sedang
dooong;dong
masi;masih
gni;begini
kek;kayak
gini;begini
aja;saja
udah;sudah
hdk;hendak
yg;yang
jugaa;juga
mksud;maksud
aj;saja
tetep;tetap
tp;tapi
mbakx;mbaknya
syantik;cantik
syantik;cantik
kite;kita
pa;apa
mksd;maksud
bejilbbnya;berjilbabnya
masio;masih
yahhh;ya
makasih;terima kasih
leh;boleh
ugaaa;juga
yah;ya
jerewi;jerawat
ilang;hilang
jilbabnyaah;jilbabnya
kek;kayak
yuuuk;yuk
warnaaa;warna
punyaaa;punya
cantiik;cantik
sukaaak;suka
kebayanyaa;kebayanya
mantes;memantas
merekaaaa;mereka
jugaaa;juga
gilaaaa;gila
tiga2nya;tiga-tiganya
lucuu;lucu
emessss;gemas
ucullllll;lucu
jdi;jadi
males;malas
bangeettt;banget
gemesshh;gemas
ngomong;mengomong
apaaa;apa
